run_id,samples,n_episodes,Neg Q,probtest Q
55,2995,20000,0.008,0.0
55,2995,25000,0.0104,0.0
56,2995,15000,0.0057,0.0
56,2995,20000,0.009,0.0
56,2995,25000,0.0057,0.0
57,2995,15000,0.0037,0.0
57,2995,20000,0.0053,0.0
57,2995,25000,0.0027,0.0
58,2995,15000,0.006,0.0
58,2995,20000,0.0073,0.0
58,2995,25000,0.0067,0.0
59,2995,15000,0.0067,0.0
59,2995,20000,0.006,0.0
59,2995,25000,0.005,0.0
60,2995,15000,0.006,0.0
60,2995,20000,0.0043,0.0
60,2995,25000,0.007,0.0
61,2995,15000,0.0093,0.0
61,2995,20000,0.0057,0.0
61,2995,25000,0.0093,0.0
62,2995,15000,0.007,0.0
62,2995,20000,0.007,0.0
62,2995,25000,0.0083,0.0
63,2995,15000,0.0073,0.0
63,2995,20000,0.0117,0.0
63,2995,25000,0.007,0.0
64,2995,15000,0.006,0.0
64,2995,20000,0.0053,0.0
64,2995,25000,0.008,0.0
65,2995,15000,0.003,0.0
65,2995,20000,0.007,0.0
65,2995,25000,0.0104,0.0
66,2995,15000,0.0083,0.0
66,2995,20000,0.0107,0.0
66,2995,25000,0.0124,0.0
67,2995,15000,0.002,0.0
67,2995,20000,0.01,0.0
67,2995,25000,0.0083,0.0
68,2995,15000,0.0073,0.0
68,2995,20000,0.007,0.0
68,2995,25000,0.006,0.0
69,2995,15000,0.01,0.0
69,2995,20000,0.0043,0.0
69,2995,25000,0.0053,0.0
70,2995,15000,0.0043,0.0
70,2995,20000,0.0093,0.0
70,2995,25000,0.007,0.0
71,2995,15000,0.0057,0.0
71,2995,20000,0.0077,0.0
71,2995,25000,0.0043,0.0
72,2995,15000,0.0104,0.0
72,2995,20000,0.0067,0.0
72,2995,25000,0.0057,0.0
73,2995,15000,0.0063,0.0
73,2995,20000,0.0093,0.0
73,2995,25000,0.0083,0.0
74,2995,15000,0.0067,0.0
74,2995,20000,0.004,0.0
74,2995,25000,0.008,0.0
75,2995,15000,0.009,0.0
75,2995,20000,0.0053,0.0
75,2995,25000,0.01,0.0
76,2995,15000,0.0063,0.0
76,2995,20000,0.0067,0.0
76,2995,25000,0.008,0.0
77,2995,15000,0.0087,0.0
77,2995,20000,0.0114,0.0
77,2995,25000,0.0067,0.0
78,2995,15000,0.0057,0.0
78,2995,20000,0.0067,0.0
78,2995,25000,0.0067,0.0
79,2995,15000,0.006,0.0
79,2995,20000,0.009,0.0
79,2995,25000,0.0077,0.0
80,2995,15000,0.006,0.0
80,2995,20000,0.011,0.0
80,2995,25000,0.0067,0.0
81,2995,15000,0.006,0.0
81,2995,20000,0.01,0.0
81,2995,25000,0.007,0.0
82,2995,15000,0.0077,0.0
82,2995,20000,0.006,0.0
82,2995,25000,0.0083,0.0
83,2995,15000,0.008,0.0
83,2995,20000,0.0067,0.0
83,2995,25000,0.0067,0.0
84,2995,15000,0.0027,0.0
84,2995,20000,0.0077,0.0
84,2995,25000,0.0057,0.0
85,2995,15000,0.004,0.0
85,2995,20000,0.0063,0.0
85,2995,25000,0.0083,0.0
86,2995,15000,0.0057,0.0
86,2995,20000,0.0063,0.0
86,2995,25000,0.005,0.0
