pBug,epsilon,failed,passed,runtime
0.0156,0.05,2,24,9.83
0.0156,0.05,2,24,10.25
0.0156,0.05,2,24,9.65
0.0156,0.05,2,24,10.00
0.0156,0.05,2,24,9.95
0.0156,0.05,1,25,10.36
0.0156,0.05,2,24,10.14
0.0156,0.05,2,24,10.09
0.0156,0.05,2,24,10.35
0.0156,0.05,2,24,10.28
0.0156,0.05,2,24,10.56
0.0156,0.05,2,24,10.41
0.0156,0.05,2,24,10.35
0.0156,0.05,2,24,10.24
0.0156,0.05,2,24,10.48
0.0156,0.05,2,24,10.60
0.0156,0.05,2,24,12.03
0.0156,0.05,2,24,12.43
0.0156,0.05,2,24,11.53
0.0156,0.05,2,24,11.36
0.0156,0.05,2,24,11.69
0.0156,0.05,2,24,11.41
0.0156,0.05,2,24,11.48
0.0156,0.05,2,24,11.60
0.0156,0.05,2,24,11.32
0.0156,0.05,2,24,11.40
0.0156,0.05,2,24,11.81
0.0156,0.05,2,24,11.77
0.0156,0.05,2,24,11.68
0.0156,0.05,2,24,11.64
0.0156,0.05,2,24,11.33
0.0156,0.05,1,25,11.84
0.0156,0.05,2,24,11.28
0.0156,0.05,2,24,11.43
0.0156,0.05,2,24,12.10
0.0156,0.05,2,24,12.00
0.0156,0.05,2,24,12.05
0.0156,0.05,0,26,12.71
0.0156,0.05,2,24,12.88
0.0156,0.05,2,24,12.12
0.0156,0.05,2,24,11.98
0.0156,0.05,2,24,12.24
0.0156,0.05,2,24,11.70
0.0156,0.05,2,24,11.70
0.0156,0.05,2,24,11.31
0.0156,0.05,2,24,11.51
0.0156,0.05,2,24,11.66
0.0156,0.05,2,24,11.57
0.0156,0.05,2,24,11.96
0.0156,0.05,1,25,12.17
0.0156,0.05,2,24,12.00
0.0156,0.05,2,24,11.70
0.0156,0.05,2,24,11.86
0.0156,0.05,2,24,11.62
0.0156,0.05,2,24,11.25
0.0156,0.05,2,24,11.74
0.0156,0.05,2,24,11.61
0.0156,0.05,1,25,11.75
0.0156,0.05,2,24,11.36
0.0156,0.05,2,24,11.67
0.0156,0.05,2,24,11.42
0.0156,0.05,1,25,11.65
0.0156,0.05,2,24,12.08
0.0156,0.05,2,24,11.77
0.0156,0.05,2,24,11.26
0.0156,0.05,2,24,11.48
0.0156,0.05,2,24,11.39
0.0156,0.05,2,24,11.38
0.0156,0.05,2,24,11.80
0.0156,0.05,2,24,11.88
0.0156,0.05,2,24,11.81
0.0156,0.05,2,24,11.69
0.0156,0.05,2,24,11.40
0.0156,0.05,2,24,11.65
0.0156,0.05,2,24,11.56
0.0156,0.05,2,24,11.44
0.0156,0.05,2,24,11.32
0.0156,0.05,2,24,11.62
0.0156,0.05,2,24,11.64
0.0156,0.05,2,24,11.49
0.0156,0.05,2,24,11.48
0.0156,0.05,2,24,11.56
0.0156,0.05,1,25,11.65
0.0156,0.05,2,24,11.33
0.0156,0.05,2,24,11.31
0.0156,0.05,2,24,11.69
0.0156,0.05,2,24,11.33
0.0156,0.05,1,25,11.82
0.0156,0.05,2,24,11.35
0.0156,0.05,2,24,11.37
0.0156,0.05,2,24,11.36
0.0156,0.05,2,24,11.31
0.0156,0.05,2,24,11.53
0.0156,0.05,2,24,11.43
0.0156,0.05,2,24,11.53
0.0156,0.05,2,24,11.43
0.0156,0.05,2,24,11.43
0.0156,0.05,2,24,11.73
0.0156,0.05,2,24,11.43
0.0156,0.05,2,24,10.71
0.0156,0.05,2,24,9.59
0.0156,0.05,1,25,9.97
0.0156,0.05,2,24,10.24
0.0156,0.05,2,24,10.41
0.0156,0.05,2,24,10.32
0.0156,0.05,2,24,10.42
0.0156,0.05,2,24,10.31
0.0156,0.05,2,24,10.64
0.0156,0.05,1,25,10.89
0.0156,0.05,2,24,10.88
0.0156,0.05,2,24,10.54
0.0156,0.05,2,24,10.35
0.0156,0.05,2,24,10.72
0.0156,0.05,0,26,10.92
0.0156,0.05,2,24,10.80
0.0156,0.05,2,24,11.38
0.0156,0.05,2,24,11.91
0.0156,0.05,2,24,11.68
0.0156,0.05,2,24,12.20
0.0156,0.05,2,24,12.61
0.0156,0.05,2,24,12.60
0.0156,0.05,2,24,12.81
0.0156,0.05,2,24,12.57
0.0156,0.05,2,24,12.92
0.0156,0.05,1,25,12.50
0.0156,0.05,2,24,12.49
0.0156,0.05,2,24,12.18
0.0156,0.05,2,24,12.02
0.0156,0.05,2,24,11.92
0.0156,0.05,2,24,12.12
0.0156,0.05,2,24,13.28
0.0156,0.05,2,24,13.48
0.0156,0.05,2,24,13.24
0.0156,0.05,2,24,13.93
0.0156,0.05,2,24,12.06
0.0156,0.05,2,24,11.82
0.0156,0.05,2,24,11.73
0.0156,0.05,2,24,11.98
0.0156,0.05,2,24,12.55
0.0156,0.05,2,24,11.93
0.0156,0.05,2,24,12.51
0.0156,0.05,2,24,12.11
0.0156,0.05,2,24,12.40
0.0156,0.05,2,24,11.84
0.0156,0.05,2,24,11.68
0.0156,0.05,2,24,11.43
0.0156,0.05,2,24,11.54
0.0156,0.05,2,24,11.52
0.0156,0.05,2,24,11.70
0.0156,0.05,2,24,11.44
0.0156,0.05,2,24,11.20
0.0156,0.05,2,24,11.59
0.0156,0.05,2,24,11.54
0.0156,0.05,2,24,11.41
0.0156,0.05,2,24,11.64
0.0156,0.05,2,24,11.35
0.0156,0.05,2,24,11.43
0.0156,0.05,1,25,11.85
0.0156,0.05,1,25,11.53
0.0156,0.05,2,24,11.49
0.0156,0.05,2,24,11.39
0.0156,0.05,2,24,11.61
0.0156,0.05,2,24,11.48
0.0156,0.05,2,24,11.64
0.0156,0.05,2,24,11.35
0.0156,0.05,2,24,11.43
0.0156,0.05,1,25,11.93
0.0156,0.05,2,24,11.38
0.0156,0.05,2,24,11.21
0.0156,0.05,2,24,11.37
0.0156,0.05,2,24,11.33
0.0156,0.05,2,24,11.43
0.0156,0.05,2,24,11.67
0.0156,0.05,2,24,11.64
0.0156,0.05,2,24,11.57
0.0156,0.05,2,24,11.35
0.0156,0.05,2,24,11.47
0.0156,0.05,2,24,11.95
0.0156,0.05,2,24,11.43
0.0156,0.05,2,24,11.35
0.0156,0.05,1,25,12.05
0.0156,0.05,2,24,11.59
0.0156,0.05,2,24,11.87
0.0156,0.05,2,24,12.01
0.0156,0.05,2,24,12.66
0.0156,0.05,2,24,12.42
0.0156,0.05,2,24,12.44
0.0156,0.05,2,24,12.87
0.0156,0.05,2,24,11.59
0.0156,0.05,2,24,11.71
0.0156,0.05,1,25,12.33
0.0156,0.05,2,24,12.80
0.0156,0.05,2,24,12.61
0.0156,0.05,1,25,12.92
0.0156,0.05,2,24,12.44
0.0156,0.05,2,24,12.09
0.0156,0.05,2,24,11.72
0.0156,0.05,2,24,12.33
0.0156,0.05,2,24,12.55
0.0156,0.05,2,24,12.36
0.0156,0.05,2,24,11.44
0.0156,0.05,2,24,11.93
0.0156,0.05,2,24,12.82
0.0156,0.05,1,25,12.91
0.0156,0.05,2,24,12.28
0.0156,0.05,2,24,12.18
0.0156,0.05,2,24,11.99
0.0156,0.05,1,25,12.68
0.0156,0.05,2,24,12.65
0.0156,0.05,2,24,12.13
0.0156,0.05,2,24,12.77
0.0156,0.05,2,24,12.36
0.0156,0.05,2,24,11.64
0.0156,0.05,2,24,12.05
0.0156,0.05,2,24,12.63
0.0156,0.05,2,24,12.24
0.0156,0.05,2,24,11.68
0.0156,0.05,2,24,11.31
0.0156,0.05,2,24,12.30
0.0156,0.05,2,24,11.97
0.0156,0.05,2,24,11.49
0.0156,0.05,2,24,11.39
0.0156,0.05,2,24,12.06
0.0156,0.05,2,24,12.10
0.0156,0.05,2,24,11.53
0.0156,0.05,2,24,11.74
0.0156,0.05,2,24,11.33
0.0156,0.05,2,24,11.65
0.0156,0.05,2,24,11.94
0.0156,0.05,2,24,11.98
0.0156,0.05,2,24,11.97
0.0156,0.05,2,24,11.69
0.0156,0.05,2,24,11.81
0.0156,0.05,2,24,11.81
0.0156,0.05,2,24,11.84
0.0156,0.05,2,24,11.74
0.0156,0.05,2,24,11.74
0.0156,0.05,2,24,11.42
0.0156,0.05,2,24,11.92
0.0156,0.05,2,24,11.39
0.0156,0.05,2,24,11.90
0.0156,0.05,2,24,11.57
0.0156,0.05,2,24,11.54
0.0156,0.05,2,24,11.90
0.0156,0.05,2,24,11.68
0.0156,0.05,2,24,11.51
0.0156,0.05,2,24,11.84
0.0156,0.05,1,25,12.03
0.0156,0.05,2,24,11.32
0.0156,0.05,2,24,11.56
0.0156,0.05,2,24,11.42
0.0156,0.05,2,24,11.36
0.0156,0.05,2,24,11.21
0.0156,0.05,2,24,11.36
0.0156,0.05,1,25,11.69
0.0156,0.05,2,24,11.58
0.0156,0.05,2,24,11.36
0.0156,0.05,2,24,11.76
0.0156,0.05,2,24,11.44
0.0156,0.05,2,24,11.49
0.0156,0.05,2,24,11.68
0.0156,0.05,2,24,11.47
0.0156,0.05,2,24,11.50
0.0156,0.05,2,24,11.52
0.0156,0.05,2,24,11.26
0.0156,0.05,1,25,11.63
0.0156,0.05,2,24,11.43
0.0156,0.05,2,24,11.53
0.0156,0.05,1,25,11.47
0.0156,0.05,2,24,11.42
0.0156,0.05,2,24,11.53
0.0156,0.05,2,24,11.53
0.0156,0.05,2,24,11.38
0.0156,0.05,2,24,11.40
0.0156,0.05,2,24,11.31
0.0156,0.05,2,24,11.37
0.0156,0.05,2,24,11.49
0.0156,0.05,2,24,11.42
0.0156,0.05,2,24,11.45
0.0156,0.05,1,25,11.82
0.0156,0.05,2,24,11.34
0.0156,0.05,2,24,11.47
0.0156,0.05,2,24,11.26
0.0156,0.05,2,24,11.35
0.0156,0.05,2,24,11.54
0.0156,0.05,2,24,11.35
0.0156,0.05,2,24,11.34
0.0156,0.05,2,24,11.31
0.0156,0.05,2,24,11.43
0.0156,0.05,2,24,11.48
0.0156,0.05,2,24,11.44
0.0156,0.05,1,25,11.50
0.0156,0.05,2,24,11.41
0.0156,0.05,2,24,11.52
0.0156,0.05,2,24,11.55
0.0156,0.05,2,24,11.60
0.0156,0.05,2,24,11.37
0.0156,0.05,2,24,11.48
0.0156,0.05,2,24,11.48
0.0156,0.05,2,24,11.59
0.0156,0.05,2,24,11.33
0.0156,0.05,2,24,11.38
0.0156,0.05,2,24,11.66
0.0156,0.05,2,24,11.39
0.0156,0.05,2,24,11.35
0.0156,0.05,2,24,11.40
0.0156,0.05,2,24,11.38
0.0156,0.05,2,24,11.40
0.0156,0.05,2,24,11.60
0.0156,0.05,2,24,11.19
0.0156,0.05,1,25,11.68
0.0156,0.05,2,24,11.20
0.0156,0.05,2,24,11.47
0.0156,0.05,2,24,11.10
0.0156,0.05,2,24,11.44
0.0156,0.05,2,24,11.34
0.0156,0.05,2,24,11.56
0.0156,0.05,2,24,11.91
0.0156,0.05,2,24,11.32
0.0156,0.05,2,24,11.26
0.0156,0.05,2,24,11.45
0.0156,0.05,1,25,11.82
0.0156,0.05,2,24,11.43
0.0156,0.05,2,24,11.55
0.0156,0.05,2,24,11.60
0.0156,0.05,2,24,11.74
0.0156,0.05,2,24,11.85
0.0156,0.05,2,24,12.03
0.0156,0.05,2,24,11.97
0.0156,0.05,2,24,11.60
0.0156,0.05,2,24,11.67
0.0156,0.05,2,24,11.51
0.0156,0.05,2,24,12.43
0.0156,0.05,2,24,12.86
0.0156,0.05,2,24,11.79
0.0156,0.05,2,24,12.17
0.0156,0.05,2,24,11.92
0.0156,0.05,2,24,11.81
0.0156,0.05,2,24,12.41
0.0156,0.05,1,25,12.54
0.0156,0.05,2,24,11.72
0.0156,0.05,2,24,11.98
0.0156,0.05,2,24,11.86
0.0156,0.05,2,24,11.67
0.0156,0.05,2,24,11.60
0.0156,0.05,2,24,11.87
0.0156,0.05,2,24,12.01
0.0156,0.05,2,24,11.97
0.0156,0.05,2,24,11.59
0.0156,0.05,2,24,11.74
0.0156,0.05,2,24,11.83
0.0156,0.05,2,24,11.93
0.0156,0.05,2,24,11.80
0.0156,0.05,2,24,12.02
0.0156,0.05,2,24,11.77
0.0156,0.05,2,24,11.46
0.0156,0.05,2,24,11.94
0.0156,0.05,2,24,11.53
0.0156,0.05,2,24,13.34
0.0156,0.05,2,24,13.43
0.0156,0.05,1,25,12.16
0.0156,0.05,2,24,12.12
0.0156,0.05,2,24,12.33
0.0156,0.05,2,24,12.42
0.0156,0.05,2,24,11.62
0.0156,0.05,2,24,11.48
0.0156,0.05,2,24,11.54
0.0156,0.05,1,25,12.01
0.0156,0.05,2,24,11.37
0.0156,0.05,2,24,11.50
0.0156,0.05,2,24,11.82
0.0156,0.05,1,25,11.55
0.0156,0.05,2,24,12.14
0.0156,0.05,2,24,12.06
0.0156,0.05,2,24,11.72
0.0156,0.05,1,25,11.92
0.0156,0.05,2,24,11.65
0.0156,0.05,2,24,11.56
0.0156,0.05,1,25,11.80
0.0156,0.05,2,24,11.63
0.0156,0.05,2,24,11.29
0.0156,0.05,2,24,11.24
0.0156,0.05,2,24,11.48
0.0156,0.05,2,24,11.40
0.0156,0.05,1,25,11.89
0.0156,0.05,2,24,11.51
0.0156,0.05,2,24,11.57
0.0156,0.05,2,24,11.32
0.0156,0.05,2,24,11.37
0.0156,0.05,2,24,11.35
0.0156,0.05,2,24,11.82
0.0156,0.05,2,24,12.10
0.0156,0.05,2,24,12.10
0.0156,0.05,1,25,12.42
0.0156,0.05,2,24,12.22
0.0156,0.05,2,24,11.77
0.0156,0.05,2,24,11.97
0.0156,0.05,2,24,12.16
0.0156,0.05,1,25,11.98
0.0156,0.05,2,24,11.60
0.0156,0.05,2,24,12.00
0.0156,0.05,2,24,12.05
0.0156,0.05,2,24,11.73
0.0156,0.05,2,24,11.97
0.0156,0.05,2,24,11.68
0.0156,0.05,1,25,12.05
0.0156,0.05,2,24,12.04
0.0156,0.05,2,24,12.13
0.0156,0.05,2,24,11.89
0.0156,0.05,2,24,12.40
0.0156,0.05,2,24,11.76
0.0156,0.05,2,24,12.02
0.0156,0.05,1,25,12.84
0.0156,0.05,2,24,12.59
0.0156,0.05,2,24,12.63
0.0156,0.05,2,24,11.88
0.0156,0.05,2,24,12.17
0.0156,0.05,2,24,11.98
0.0156,0.05,2,24,11.72
0.0156,0.05,2,24,11.38
0.0156,0.05,2,24,11.67
0.0156,0.05,2,24,11.43
0.0156,0.05,1,25,11.57
0.0156,0.05,1,25,11.54
0.0156,0.05,2,24,12.27
0.0156,0.05,2,24,12.27
0.0156,0.05,2,24,13.29
0.0156,0.05,2,24,12.98
0.0156,0.05,2,24,12.27
0.0156,0.05,2,24,12.34
0.0156,0.05,2,24,12.60
0.0156,0.05,1,25,12.77
0.0156,0.05,2,24,11.78
0.0156,0.05,2,24,11.83
0.0156,0.05,2,24,12.68
0.0156,0.05,1,25,13.05
0.0156,0.05,2,24,11.99
0.0156,0.05,2,24,11.92
0.0156,0.05,2,24,12.19
0.0156,0.05,2,24,12.51
0.0156,0.05,2,24,13.21
0.0156,0.05,2,24,12.81
0.0156,0.05,2,24,11.95
0.0156,0.05,2,24,12.02
0.0156,0.05,2,24,12.03
0.0156,0.05,2,24,12.33
0.0156,0.05,2,24,12.07
0.0156,0.05,2,24,11.83
0.0156,0.05,2,24,12.52
0.0156,0.05,2,24,12.16
0.0156,0.05,2,24,12.21
0.0156,0.05,1,25,12.61
0.0156,0.05,2,24,11.84
0.0156,0.05,2,24,11.82
0.0156,0.05,2,24,11.55
0.0156,0.05,2,24,11.67
0.0156,0.05,2,24,11.80
0.0156,0.05,2,24,12.00
0.0156,0.05,2,24,11.60
0.0156,0.05,2,24,11.76
0.0156,0.05,2,24,11.52
0.0156,0.05,2,24,11.55
0.0156,0.05,2,24,11.66
0.0156,0.05,2,24,11.61
0.0156,0.05,2,24,12.83
0.0156,0.05,2,24,13.57
0.0156,0.05,2,24,13.92
0.0156,0.05,2,24,12.46
0.0156,0.05,2,24,13.36
0.0156,0.05,2,24,12.99
0.0156,0.05,2,24,13.69
0.0156,0.05,2,24,13.84
0.0156,0.05,2,24,12.67
0.0156,0.05,2,24,12.74
0.0156,0.05,2,24,13.15
0.0156,0.05,2,24,12.79
0.0156,0.05,2,24,13.94
0.0156,0.05,1,25,13.30
0.0156,0.05,2,24,12.08
0.0156,0.05,2,24,12.29
0.0156,0.05,2,24,12.44
0.0156,0.05,2,24,12.33
0.0156,0.05,2,24,12.42
0.0156,0.05,2,24,11.94
0.0156,0.05,2,24,11.82
0.0156,0.05,2,24,11.46
0.0156,0.05,2,24,11.82
