pBug,epsilon,failed,passed,runtime
0.25,0.05,2,24,0.49
0.25,0.05,1,25,0.52
0.25,0.05,2,24,0.47
0.25,0.05,2,24,0.47
0.25,0.05,2,24,0.54
0.25,0.05,2,24,0.50
0.25,0.05,2,24,0.51
0.25,0.05,2,24,0.52
0.25,0.05,2,24,0.48
0.25,0.05,2,24,0.51
0.25,0.05,2,24,0.48
0.25,0.05,2,24,0.47
0.25,0.05,2,24,0.51
0.25,0.05,2,24,0.48
0.25,0.05,2,24,0.52
0.25,0.05,2,24,0.48
0.25,0.05,2,24,0.54
0.25,0.05,2,24,0.50
0.25,0.05,2,24,0.53
0.25,0.05,1,25,0.53
0.25,0.05,2,24,0.57
0.25,0.05,2,24,0.52
0.25,0.05,2,24,0.50
0.25,0.05,2,24,0.51
0.25,0.05,2,24,0.50
0.25,0.05,2,24,0.52
0.25,0.05,2,24,0.52
0.25,0.05,2,24,0.53
0.25,0.05,2,24,0.52
0.25,0.05,2,24,0.49
0.25,0.05,2,24,0.50
0.25,0.05,2,24,0.50
0.25,0.05,2,24,0.49
0.25,0.05,1,25,0.50
0.25,0.05,2,24,0.56
0.25,0.05,2,24,0.56
0.25,0.05,2,24,0.58
0.25,0.05,2,24,0.57
0.25,0.05,2,24,0.56
0.25,0.05,2,24,0.56
0.25,0.05,2,24,0.58
0.25,0.05,2,24,0.57
0.25,0.05,2,24,0.58
0.25,0.05,2,24,0.58
0.25,0.05,2,24,0.57
0.25,0.05,2,24,0.57
0.25,0.05,2,24,0.61
0.25,0.05,2,24,0.58
0.25,0.05,2,24,0.55
0.25,0.05,2,24,0.61
0.25,0.05,2,24,0.67
0.25,0.05,2,24,0.57
0.25,0.05,2,24,0.61
0.25,0.05,2,24,0.58
0.25,0.05,2,24,0.62
0.25,0.05,2,24,0.57
0.25,0.05,2,24,0.55
0.25,0.05,2,24,0.55
0.25,0.05,2,24,0.57
0.25,0.05,2,24,0.56
0.25,0.05,1,25,0.60
0.25,0.05,2,24,0.66
0.25,0.05,2,24,0.56
0.25,0.05,2,24,0.55
0.25,0.05,2,24,0.56
0.25,0.05,2,24,0.54
0.25,0.05,2,24,0.61
0.25,0.05,2,24,0.56
0.25,0.05,2,24,0.56
0.25,0.05,2,24,0.55
0.25,0.05,1,25,0.54
0.25,0.05,2,24,0.55
0.25,0.05,1,25,0.55
0.25,0.05,2,24,0.54
0.25,0.05,2,24,0.54
0.25,0.05,2,24,0.55
0.25,0.05,2,24,0.59
0.25,0.05,2,24,0.56
0.25,0.05,2,24,0.54
0.25,0.05,2,24,0.54
0.25,0.05,2,24,0.54
0.25,0.05,2,24,0.55
0.25,0.05,2,24,0.54
0.25,0.05,2,24,0.55
0.25,0.05,2,24,0.55
0.25,0.05,2,24,0.54
0.25,0.05,2,24,0.54
0.25,0.05,2,24,0.56
0.25,0.05,2,24,0.54
0.25,0.05,2,24,0.54
0.25,0.05,2,24,0.54
0.25,0.05,2,24,0.55
0.25,0.05,2,24,0.54
0.25,0.05,2,24,0.54
0.25,0.05,2,24,0.54
0.25,0.05,2,24,0.54
0.25,0.05,2,24,0.55
0.25,0.05,2,24,0.54
0.25,0.05,2,24,0.54
0.25,0.05,2,24,0.55
0.25,0.05,2,24,0.54
0.25,0.05,2,24,0.54
0.25,0.05,2,24,0.54
0.25,0.05,2,24,0.55
0.25,0.05,2,24,0.54
0.25,0.05,2,24,0.54
0.25,0.05,2,24,0.54
0.25,0.05,2,24,0.54
0.25,0.05,2,24,0.54
0.25,0.05,2,24,0.54
0.25,0.05,1,25,0.54
0.25,0.05,2,24,0.54
0.25,0.05,2,24,0.54
0.25,0.05,2,24,0.55
0.25,0.05,2,24,0.55
0.25,0.05,2,24,0.55
0.25,0.05,2,24,0.54
0.25,0.05,2,24,0.55
0.25,0.05,2,24,0.57
0.25,0.05,2,24,0.54
0.25,0.05,2,24,0.54
0.25,0.05,2,24,0.55
0.25,0.05,2,24,0.54
0.25,0.05,1,25,0.55
0.25,0.05,2,24,0.54
0.25,0.05,1,25,0.55
0.25,0.05,2,24,0.55
0.25,0.05,2,24,0.54
0.25,0.05,2,24,0.54
0.25,0.05,2,24,0.55
0.25,0.05,2,24,0.54
0.25,0.05,2,24,0.55
0.25,0.05,2,24,0.55
0.25,0.05,2,24,0.54
0.25,0.05,2,24,0.53
0.25,0.05,2,24,0.54
0.25,0.05,2,24,0.54
0.25,0.05,2,24,0.56
0.25,0.05,2,24,0.55
0.25,0.05,2,24,0.54
0.25,0.05,2,24,0.54
0.25,0.05,2,24,0.55
0.25,0.05,2,24,0.54
0.25,0.05,2,24,0.55
0.25,0.05,2,24,0.54
0.25,0.05,2,24,0.55
0.25,0.05,2,24,0.54
0.25,0.05,2,24,0.55
0.25,0.05,2,24,0.54
0.25,0.05,2,24,0.54
0.25,0.05,2,24,0.54
0.25,0.05,2,24,0.55
0.25,0.05,2,24,0.55
0.25,0.05,2,24,0.55
0.25,0.05,2,24,0.55
0.25,0.05,2,24,0.54
0.25,0.05,2,24,0.54
0.25,0.05,2,24,0.55
0.25,0.05,2,24,0.55
0.25,0.05,1,25,0.63
0.25,0.05,2,24,0.64
0.25,0.05,2,24,0.57
0.25,0.05,2,24,0.62
0.25,0.05,2,24,0.57
0.25,0.05,2,24,0.58
0.25,0.05,2,24,0.59
0.25,0.05,2,24,0.58
0.25,0.05,2,24,0.57
0.25,0.05,2,24,0.58
0.25,0.05,2,24,0.57
0.25,0.05,2,24,0.57
0.25,0.05,2,24,0.55
0.25,0.05,2,24,0.61
0.25,0.05,2,24,0.59
