pBug,epsilon,failed,passed,runtime
0.0625,0.05,1,25,2.04
0.0625,0.05,1,25,2.11
0.0625,0.05,1,25,2.02
0.0625,0.05,1,25,1.98
0.0625,0.05,1,25,1.97
0.0625,0.05,1,25,2.06
0.0625,0.05,1,25,1.99
0.0625,0.05,1,25,1.98
0.0625,0.05,1,25,2.13
0.0625,0.05,1,25,2.08
0.0625,0.05,1,25,1.98
0.0625,0.05,1,25,2.17
0.0625,0.05,1,25,2.07
0.0625,0.05,1,25,2.19
0.0625,0.05,1,25,2.31
0.0625,0.05,1,25,2.06
0.0625,0.05,1,25,2.26
0.0625,0.05,1,25,2.26
0.0625,0.05,1,25,2.40
0.0625,0.05,1,25,2.09
0.0625,0.05,1,25,2.05
0.0625,0.05,1,25,2.19
0.0625,0.05,1,25,2.20
0.0625,0.05,1,25,2.05
0.0625,0.05,1,25,2.20
0.0625,0.05,1,25,2.15
0.0625,0.05,1,25,2.18
0.0625,0.05,1,25,2.23
0.0625,0.05,1,25,2.19
0.0625,0.05,1,25,2.15
0.0625,0.05,1,25,2.12
0.0625,0.05,1,25,2.15
0.0625,0.05,1,25,2.26
0.0625,0.05,1,25,2.03
0.0625,0.05,1,25,2.13
0.0625,0.05,1,25,2.05
0.0625,0.05,1,25,2.18
0.0625,0.05,1,25,2.01
0.0625,0.05,1,25,2.08
0.0625,0.05,1,25,2.07
0.0625,0.05,1,25,2.05
0.0625,0.05,1,25,2.17
0.0625,0.05,1,25,2.03
0.0625,0.05,1,25,2.06
0.0625,0.05,1,25,2.17
0.0625,0.05,1,25,2.10
0.0625,0.05,1,25,2.05
0.0625,0.05,1,25,2.05
0.0625,0.05,1,25,2.16
0.0625,0.05,1,25,2.02
0.0625,0.05,1,25,2.16
0.0625,0.05,1,25,2.07
0.0625,0.05,1,25,2.02
0.0625,0.05,1,25,2.25
0.0625,0.05,1,25,2.09
0.0625,0.05,1,25,2.05
0.0625,0.05,1,25,2.06
0.0625,0.05,1,25,2.17
0.0625,0.05,1,25,2.03
0.0625,0.05,1,25,2.05
0.0625,0.05,1,25,2.17
0.0625,0.05,1,25,2.16
0.0625,0.05,1,25,2.16
0.0625,0.05,1,25,1.99
0.0625,0.05,1,25,2.08
0.0625,0.05,1,25,2.17
0.0625,0.05,1,25,2.18
0.0625,0.05,1,25,2.13
0.0625,0.05,1,25,2.17
0.0625,0.05,1,25,2.15
0.0625,0.05,1,25,2.26
0.0625,0.05,1,25,2.32
0.0625,0.05,0,26,2.30
0.0625,0.05,1,25,2.17
0.0625,0.05,1,25,2.08
0.0625,0.05,1,25,2.18
0.0625,0.05,1,25,2.06
0.0625,0.05,1,25,2.10
0.0625,0.05,1,25,2.28
0.0625,0.05,1,25,2.11
0.0625,0.05,1,25,2.24
0.0625,0.05,1,25,2.04
0.0625,0.05,1,25,2.06
0.0625,0.05,1,25,2.16
0.0625,0.05,1,25,2.17
0.0625,0.05,1,25,2.11
0.0625,0.05,1,25,2.16
0.0625,0.05,1,25,1.97
0.0625,0.05,1,25,2.11
0.0625,0.05,1,25,2.15
0.0625,0.05,1,25,2.08
0.0625,0.05,1,25,2.07
0.0625,0.05,1,25,2.06
0.0625,0.05,1,25,2.12
0.0625,0.05,1,25,2.19
0.0625,0.05,1,25,2.19
0.0625,0.05,1,25,1.99
0.0625,0.05,1,25,2.07
0.0625,0.05,1,25,2.15
0.0625,0.05,1,25,2.20
0.0625,0.05,1,25,2.16
0.0625,0.05,1,25,2.20
0.0625,0.05,1,25,2.39
0.0625,0.05,1,25,2.10
0.0625,0.05,0,26,2.25
0.0625,0.05,1,25,2.06
0.0625,0.05,1,25,2.15
0.0625,0.05,1,25,2.14
0.0625,0.05,1,25,2.09
0.0625,0.05,1,25,2.18
0.0625,0.05,1,25,2.17
0.0625,0.05,1,25,2.18
0.0625,0.05,1,25,2.09
0.0625,0.05,0,26,2.82
0.0625,0.05,0,26,2.47
0.0625,0.05,1,25,2.27
0.0625,0.05,1,25,2.40
0.0625,0.05,1,25,2.11
0.0625,0.05,1,25,2.18
0.0625,0.05,1,25,2.23
0.0625,0.05,1,25,2.07
0.0625,0.05,1,25,2.17
0.0625,0.05,1,25,2.22
0.0625,0.05,1,25,2.34
0.0625,0.05,1,25,2.23
