pBug,epsilon,failed,passed,runtime
0.0625,0.05,4,22,1.82
0.0625,0.05,4,22,1.94
0.0625,0.05,4,22,1.92
0.0625,0.05,4,21,1.89
0.0625,0.05,4,21,1.88
0.0625,0.05,4,22,1.88
0.0625,0.05,4,22,1.84
0.0625,0.05,4,22,1.97
0.0625,0.05,4,22,1.90
0.0625,0.05,4,22,1.87
0.0625,0.05,4,22,1.97
0.0625,0.05,4,22,1.97
0.0625,0.05,4,21,1.90
0.0625,0.05,4,22,1.88
0.0625,0.05,4,22,1.99
0.0625,0.05,4,22,1.90
0.0625,0.05,4,22,1.97
0.0625,0.05,4,22,1.94
0.0625,0.05,4,22,1.99
0.0625,0.05,4,21,1.99
0.0625,0.05,4,22,1.98
0.0625,0.05,4,22,1.89
0.0625,0.05,3,23,1.89
0.0625,0.05,4,21,1.87
0.0625,0.05,4,22,2.00
0.0625,0.05,4,21,1.97
0.0625,0.05,4,21,2.02
0.0625,0.05,4,21,1.93
0.0625,0.05,4,21,2.01
0.0625,0.05,4,21,1.96
0.0625,0.05,4,22,2.01
0.0625,0.05,4,22,1.90
0.0625,0.05,4,22,1.95
0.0625,0.05,4,21,1.94
0.0625,0.05,3,23,1.98
0.0625,0.05,4,21,1.98
0.0625,0.05,4,22,1.95
0.0625,0.05,4,21,1.93
0.0625,0.05,4,21,1.95
0.0625,0.05,4,21,2.04
0.0625,0.05,3,22,1.93
0.0625,0.05,4,22,1.96
0.0625,0.05,4,22,2.03
0.0625,0.05,4,22,1.91
0.0625,0.05,4,21,1.94
0.0625,0.05,4,22,1.92
0.0625,0.05,4,21,1.89
0.0625,0.05,4,22,2.00
0.0625,0.05,4,22,1.93
0.0625,0.05,4,22,2.04
0.0625,0.05,4,22,2.01
0.0625,0.05,4,22,2.00
0.0625,0.05,4,22,2.04
0.0625,0.05,4,22,1.90
0.0625,0.05,3,23,2.07
0.0625,0.05,4,22,1.96
0.0625,0.05,4,21,1.96
0.0625,0.05,4,21,2.03
0.0625,0.05,4,22,1.93
0.0625,0.05,4,21,2.01
0.0625,0.05,4,22,1.98
0.0625,0.05,3,23,1.95
0.0625,0.05,4,21,1.97
0.0625,0.05,4,22,1.94
0.0625,0.05,4,22,1.90
0.0625,0.05,4,22,1.93
0.0625,0.05,4,21,1.98
0.0625,0.05,4,22,2.06
0.0625,0.05,4,21,1.86
0.0625,0.05,4,22,2.04
0.0625,0.05,4,22,2.03
0.0625,0.05,4,22,1.93
0.0625,0.05,4,22,2.03
0.0625,0.05,4,22,1.92
0.0625,0.05,4,22,1.96
0.0625,0.05,4,21,2.01
0.0625,0.05,4,22,2.02
0.0625,0.05,4,22,2.03
0.0625,0.05,4,22,1.90
0.0625,0.05,4,21,1.93
0.0625,0.05,4,21,1.93
0.0625,0.05,4,22,2.06
0.0625,0.05,4,21,2.11
0.0625,0.05,4,21,2.03
0.0625,0.05,4,22,2.03
0.0625,0.05,4,21,1.95
0.0625,0.05,4,22,1.91
0.0625,0.05,3,23,2.06
0.0625,0.05,4,21,2.07
0.0625,0.05,4,21,2.07
0.0625,0.05,4,22,2.12
0.0625,0.05,4,21,2.13
0.0625,0.05,4,21,2.21
0.0625,0.05,4,22,2.22
0.0625,0.05,4,22,2.21
0.0625,0.05,4,21,2.09
0.0625,0.05,4,22,1.97
0.0625,0.05,4,22,2.01
0.0625,0.05,4,21,2.09
0.0625,0.05,4,21,2.08
0.0625,0.05,4,22,2.02
0.0625,0.05,4,22,1.98
0.0625,0.05,4,22,2.06
0.0625,0.05,4,21,1.97
0.0625,0.05,4,22,2.06
0.0625,0.05,4,22,2.02
0.0625,0.05,4,22,2.05
0.0625,0.05,4,22,2.09
0.0625,0.05,4,22,2.03
0.0625,0.05,4,22,2.02
0.0625,0.05,4,21,2.07
0.0625,0.05,4,21,1.97
0.0625,0.05,4,21,2.00
0.0625,0.05,4,22,2.06
0.0625,0.05,4,22,1.93
0.0625,0.05,3,23,2.12
0.0625,0.05,4,22,2.04
0.0625,0.05,4,21,2.10
0.0625,0.05,4,22,1.92
0.0625,0.05,4,22,2.04
0.0625,0.05,4,22,2.02
0.0625,0.05,4,21,1.94
0.0625,0.05,4,22,2.05
0.0625,0.05,4,21,2.01
0.0625,0.05,4,22,2.06
0.0625,0.05,4,22,1.96
0.0625,0.05,4,22,1.97
0.0625,0.05,4,22,2.06
0.0625,0.05,4,21,2.05
0.0625,0.05,4,21,2.10
0.0625,0.05,4,22,2.03
0.0625,0.05,4,22,2.13
0.0625,0.05,4,22,2.16
0.0625,0.05,4,21,2.19
0.0625,0.05,4,22,2.19
0.0625,0.05,4,22,2.08
0.0625,0.05,4,21,2.02
0.0625,0.05,4,22,2.04
0.0625,0.05,4,21,2.01
0.0625,0.05,4,22,2.03
0.0625,0.05,4,22,2.00
0.0625,0.05,4,21,1.96
0.0625,0.05,4,22,2.08
0.0625,0.05,4,21,2.07
0.0625,0.05,4,22,1.95
0.0625,0.05,4,21,2.08
0.0625,0.05,4,21,2.08
0.0625,0.05,4,22,2.06
0.0625,0.05,4,22,2.06
0.0625,0.05,4,22,2.07
0.0625,0.05,3,22,2.04
0.0625,0.05,4,21,2.02
0.0625,0.05,4,21,1.91
0.0625,0.05,4,22,1.97
0.0625,0.05,4,22,2.07
0.0625,0.05,4,22,1.93
0.0625,0.05,4,22,1.93
0.0625,0.05,4,21,1.92
0.0625,0.05,4,22,1.94
0.0625,0.05,4,21,2.00
0.0625,0.05,4,22,1.92
0.0625,0.05,4,21,1.92
0.0625,0.05,4,22,2.00
0.0625,0.05,4,21,1.90
0.0625,0.05,4,22,1.94
0.0625,0.05,4,22,1.95
0.0625,0.05,4,21,2.00
0.0625,0.05,4,21,2.00
0.0625,0.05,4,21,1.98
0.0625,0.05,4,22,1.87
0.0625,0.05,4,21,1.86
0.0625,0.05,4,21,1.89
0.0625,0.05,4,21,1.99
0.0625,0.05,4,22,2.00
0.0625,0.05,4,21,2.03
0.0625,0.05,4,21,2.01
0.0625,0.05,3,23,2.02
0.0625,0.05,4,22,1.88
0.0625,0.05,4,22,2.05
0.0625,0.05,4,22,2.03
0.0625,0.05,4,21,1.97
0.0625,0.05,4,21,1.97
0.0625,0.05,4,21,1.88
0.0625,0.05,4,22,2.04
0.0625,0.05,4,22,1.98
0.0625,0.05,4,22,1.96
0.0625,0.05,4,21,2.00
0.0625,0.05,4,21,2.05
0.0625,0.05,4,22,2.03
0.0625,0.05,4,22,1.92
0.0625,0.05,4,22,1.92
0.0625,0.05,4,21,1.93
0.0625,0.05,4,22,2.04
0.0625,0.05,4,22,1.89
0.0625,0.05,4,21,2.02
0.0625,0.05,4,21,1.88
0.0625,0.05,4,21,1.92
0.0625,0.05,4,22,1.93
0.0625,0.05,4,22,1.97
0.0625,0.05,4,22,2.03
0.0625,0.05,4,22,1.82
0.0625,0.05,4,22,1.94
0.0625,0.05,4,22,1.92
0.0625,0.05,4,21,1.89
0.0625,0.05,4,21,1.88
0.0625,0.05,4,22,1.88
0.0625,0.05,4,22,1.84
0.0625,0.05,4,22,1.97
0.0625,0.05,4,22,1.90
0.0625,0.05,4,22,1.87
0.0625,0.05,4,22,1.97
0.0625,0.05,4,22,1.97
0.0625,0.05,4,21,1.90
0.0625,0.05,4,22,1.88
0.0625,0.05,4,22,1.99
0.0625,0.05,4,22,1.90
0.0625,0.05,4,22,1.97
0.0625,0.05,4,22,1.94
0.0625,0.05,4,22,1.99
0.0625,0.05,4,21,1.99
0.0625,0.05,4,22,1.98
0.0625,0.05,4,22,1.89
0.0625,0.05,3,23,1.89
0.0625,0.05,4,21,1.87
0.0625,0.05,4,22,2.00
0.0625,0.05,4,21,1.97
0.0625,0.05,4,21,2.02
0.0625,0.05,4,21,1.93
0.0625,0.05,4,21,2.01
0.0625,0.05,4,21,1.96
0.0625,0.05,4,22,2.01
0.0625,0.05,4,22,1.90
0.0625,0.05,4,22,1.95
0.0625,0.05,4,21,1.94
0.0625,0.05,3,23,1.98
0.0625,0.05,4,21,1.98
0.0625,0.05,4,22,1.95
0.0625,0.05,4,21,1.93
0.0625,0.05,4,21,1.95
0.0625,0.05,4,21,2.04
0.0625,0.05,3,22,1.93
0.0625,0.05,4,22,1.96
0.0625,0.05,4,22,2.03
0.0625,0.05,4,22,1.91
0.0625,0.05,4,21,1.94
0.0625,0.05,4,22,1.92
0.0625,0.05,4,21,1.89
0.0625,0.05,4,22,2.00
0.0625,0.05,4,22,1.93
0.0625,0.05,4,22,2.04
0.0625,0.05,4,22,2.01
0.0625,0.05,4,22,2.00
0.0625,0.05,4,22,2.04
0.0625,0.05,4,22,1.90
0.0625,0.05,3,23,2.07
0.0625,0.05,4,22,1.96
0.0625,0.05,4,21,1.96
0.0625,0.05,4,21,2.03
0.0625,0.05,4,22,1.93
0.0625,0.05,4,21,2.01
0.0625,0.05,4,22,1.98
0.0625,0.05,3,23,1.95
0.0625,0.05,4,21,1.97
0.0625,0.05,4,22,1.94
0.0625,0.05,4,22,1.90
0.0625,0.05,4,22,1.93
0.0625,0.05,4,21,1.98
0.0625,0.05,4,22,2.06
0.0625,0.05,4,21,1.86
0.0625,0.05,4,22,2.04
0.0625,0.05,4,22,2.03
0.0625,0.05,4,22,1.93
0.0625,0.05,4,22,2.03
0.0625,0.05,4,22,1.92
0.0625,0.05,4,22,1.96
0.0625,0.05,4,21,2.01
0.0625,0.05,4,22,2.02
0.0625,0.05,4,22,2.03
0.0625,0.05,4,22,1.90
0.0625,0.05,4,21,1.93
0.0625,0.05,4,21,1.93
0.0625,0.05,4,22,2.06
0.0625,0.05,4,21,2.11
0.0625,0.05,4,21,2.03
0.0625,0.05,4,22,2.03
0.0625,0.05,4,21,1.95
0.0625,0.05,4,22,1.91
0.0625,0.05,3,23,2.06
0.0625,0.05,4,21,2.07
0.0625,0.05,4,21,2.07
0.0625,0.05,4,22,2.12
0.0625,0.05,4,21,2.13
0.0625,0.05,4,21,2.21
0.0625,0.05,4,22,2.22
0.0625,0.05,4,22,2.21
0.0625,0.05,4,21,2.09
0.0625,0.05,4,22,1.97
0.0625,0.05,4,22,2.01
0.0625,0.05,4,21,2.09
0.0625,0.05,4,21,2.08
0.0625,0.05,4,22,2.02
0.0625,0.05,4,22,1.98
0.0625,0.05,4,22,2.06
0.0625,0.05,4,21,1.97
0.0625,0.05,4,22,2.06
0.0625,0.05,4,22,2.02
0.0625,0.05,4,22,2.05
0.0625,0.05,4,22,2.09
0.0625,0.05,4,22,2.03
0.0625,0.05,4,22,2.02
0.0625,0.05,4,21,2.07
0.0625,0.05,4,21,1.97
0.0625,0.05,4,21,2.00
0.0625,0.05,4,22,2.06
0.0625,0.05,4,22,1.93
0.0625,0.05,3,23,2.12
0.0625,0.05,4,22,2.04
0.0625,0.05,4,21,2.10
0.0625,0.05,4,22,1.92
0.0625,0.05,4,22,2.04
0.0625,0.05,4,22,2.02
0.0625,0.05,4,21,1.94
0.0625,0.05,4,22,2.05
0.0625,0.05,4,21,2.01
0.0625,0.05,4,22,2.06
0.0625,0.05,4,22,1.96
0.0625,0.05,4,22,1.97
0.0625,0.05,4,22,2.06
0.0625,0.05,4,21,2.05
0.0625,0.05,4,21,2.10
0.0625,0.05,4,22,2.03
0.0625,0.05,4,22,2.13
0.0625,0.05,4,22,2.16
0.0625,0.05,4,21,2.19
0.0625,0.05,4,22,2.19
0.0625,0.05,4,22,2.08
0.0625,0.05,4,21,2.02
0.0625,0.05,4,22,2.04
0.0625,0.05,4,21,2.01
0.0625,0.05,4,22,2.03
0.0625,0.05,4,22,2.00
0.0625,0.05,4,21,1.96
0.0625,0.05,4,22,2.08
0.0625,0.05,4,21,2.07
0.0625,0.05,4,22,1.95
0.0625,0.05,4,21,2.08
0.0625,0.05,4,21,2.08
0.0625,0.05,4,22,2.06
0.0625,0.05,4,22,2.06
0.0625,0.05,4,22,2.07
0.0625,0.05,3,22,2.04
0.0625,0.05,4,21,2.02
0.0625,0.05,4,21,1.91
0.0625,0.05,4,22,1.97
0.0625,0.05,4,22,2.07
0.0625,0.05,4,22,1.93
0.0625,0.05,4,22,1.93
0.0625,0.05,4,21,1.92
0.0625,0.05,4,22,1.94
0.0625,0.05,4,21,2.00
0.0625,0.05,4,22,1.92
0.0625,0.05,4,21,1.92
0.0625,0.05,4,22,2.00
0.0625,0.05,4,21,1.90
0.0625,0.05,4,22,1.94
0.0625,0.05,4,22,1.95
0.0625,0.05,4,21,2.00
0.0625,0.05,4,21,2.00
0.0625,0.05,4,21,1.98
0.0625,0.05,4,22,1.87
0.0625,0.05,4,21,1.86
0.0625,0.05,4,21,1.89
0.0625,0.05,4,21,1.99
0.0625,0.05,4,22,2.00
0.0625,0.05,4,21,2.03
0.0625,0.05,4,21,2.01
0.0625,0.05,3,23,2.02
0.0625,0.05,4,22,1.88
0.0625,0.05,4,22,2.05
0.0625,0.05,4,22,2.03
0.0625,0.05,4,21,1.97
0.0625,0.05,4,21,1.97
0.0625,0.05,4,21,1.88
0.0625,0.05,4,22,2.04
0.0625,0.05,4,22,1.98
0.0625,0.05,4,22,1.96
0.0625,0.05,4,21,2.00
0.0625,0.05,4,21,2.05
0.0625,0.05,4,22,2.03
0.0625,0.05,4,22,1.92
0.0625,0.05,4,22,1.92
0.0625,0.05,4,21,1.93
0.0625,0.05,4,22,2.04
0.0625,0.05,4,22,1.89
0.0625,0.05,4,21,2.02
0.0625,0.05,4,21,1.88
0.0625,0.05,4,21,1.92
0.0625,0.05,4,22,1.93
0.0625,0.05,4,22,1.97
0.0625,0.05,4,22,2.03
0.0625,0.05,4,22,4.76
0.0625,0.05,4,22,4.80
0.0625,0.05,4,22,4.90
0.0625,0.05,4,22,4.85
0.0625,0.05,4,22,4.81
