pBug,epsilon,failed,passed,runtime
0.0039,0.05,1,24,48.16
0.0039,0.05,1,24,48.51
0.0039,0.05,1,24,51.56
0.0039,0.05,1,24,52.05
0.0039,0.05,1,24,57.21
0.0039,0.05,1,24,57.31
0.0039,0.05,1,24,56.67
0.0039,0.05,1,24,56.56
0.0039,0.05,1,24,48.87
0.0039,0.05,1,24,49.01
0.0039,0.05,1,24,51.44
0.0039,0.05,1,24,52.72
0.0039,0.05,1,24,54.25
0.0039,0.05,1,24,53.55
0.0039,0.05,1,24,53.82
0.0039,0.05,1,24,54.05
0.0039,0.05,1,24,53.89
0.0039,0.05,1,24,54.39
0.0039,0.05,1,24,54.19
0.0039,0.05,1,24,53.56
0.0039,0.05,1,24,54.00
0.0039,0.05,1,24,53.81
0.0039,0.05,1,24,53.94
0.0039,0.05,1,24,54.82
0.0039,0.05,1,24,53.80
0.0039,0.05,1,24,54.01
0.0039,0.05,1,24,53.37
0.0039,0.05,1,24,53.82
0.0039,0.05,1,24,54.36
0.0039,0.05,1,24,54.42
0.0039,0.05,1,24,54.10
0.0039,0.05,1,24,53.54
0.0039,0.05,1,24,53.40
0.0039,0.05,1,24,54.51
0.0039,0.05,1,24,53.75
0.0039,0.05,1,24,54.29
0.0039,0.05,1,24,53.75
0.0039,0.05,1,24,54.15
0.0039,0.05,1,24,53.41
0.0039,0.05,1,24,54.89
0.0039,0.05,1,24,54.29
0.0039,0.05,1,24,53.48
0.0039,0.05,1,24,53.79
0.0039,0.05,1,24,52.65
0.0039,0.05,1,24,53.44
0.0039,0.05,1,24,53.89
0.0039,0.05,1,24,53.74
0.0039,0.05,1,24,53.48
0.0039,0.05,1,24,53.37
0.0039,0.05,1,24,53.52
0.0039,0.05,1,24,53.90
0.0039,0.05,1,24,54.07
0.0039,0.05,1,24,54.12
0.0039,0.05,1,24,53.74
0.0039,0.05,1,24,54.10
0.0039,0.05,1,24,53.97
0.0039,0.05,1,24,53.71
0.0039,0.05,1,24,53.86
0.0039,0.05,1,24,53.36
0.0039,0.05,1,24,53.92
0.0039,0.05,1,24,54.23
0.0039,0.05,1,24,53.55
0.0039,0.05,1,24,53.98
0.0039,0.05,1,24,53.35
0.0039,0.05,1,24,54.09
0.0039,0.05,1,24,52.96
0.0039,0.05,1,24,53.35
0.0039,0.05,1,24,54.07
0.0039,0.05,1,24,53.40
0.0039,0.05,1,24,53.40
0.0039,0.05,1,24,52.84
0.0039,0.05,1,24,54.16
0.0039,0.05,1,24,53.28
0.0039,0.05,1,24,54.75
0.0039,0.05,1,24,53.26
0.0039,0.05,1,24,54.15
0.0039,0.05,1,24,53.73
0.0039,0.05,1,24,53.29
0.0039,0.05,1,24,54.49
0.0039,0.05,1,24,53.41
0.0039,0.05,1,24,54.42
0.0039,0.05,1,24,53.62
0.0039,0.05,1,24,53.28
0.0039,0.05,1,24,54.46
0.0039,0.05,1,24,53.56
0.0039,0.05,1,24,54.38
0.0039,0.05,1,24,54.49
0.0039,0.05,1,24,53.53
0.0039,0.05,1,24,54.12
0.0039,0.05,1,24,53.48
0.0039,0.05,1,24,52.93
0.0039,0.05,1,24,53.95
0.0039,0.05,1,24,54.14
0.0039,0.05,1,24,53.60
0.0039,0.05,1,24,53.20
0.0039,0.05,1,24,53.80
0.0039,0.05,1,24,53.23
0.0039,0.05,1,24,54.06
0.0039,0.05,1,24,53.60
0.0039,0.05,1,24,54.27
0.0039,0.05,1,24,53.34
0.0039,0.05,1,24,54.06
0.0039,0.05,1,24,54.23
0.0039,0.05,1,24,53.17
0.0039,0.05,1,24,54.25
0.0039,0.05,1,24,53.26
0.0039,0.05,1,24,53.92
0.0039,0.05,1,24,53.39
0.0039,0.05,1,24,57.72
0.0039,0.05,1,24,60.81
0.0039,0.05,1,24,54.32
0.0039,0.05,1,24,52.72
0.0039,0.05,1,24,53.34
0.0039,0.05,1,24,53.66
0.0039,0.05,1,24,53.31
0.0039,0.05,1,24,54.10
0.0039,0.05,1,24,53.57
0.0039,0.05,1,24,54.26
0.0039,0.05,1,24,53.49
0.0039,0.05,1,24,53.74
0.0039,0.05,1,24,54.04
0.0039,0.05,1,24,53.62
0.0039,0.05,1,24,54.14
0.0039,0.05,1,24,54.26
