pBug,epsilon,failed,passed,runtime
0.25,0.05,0,26,0.88
0.25,0.05,0,26,0.94
0.25,0.05,0,26,0.98
0.25,0.05,0,26,1.24
0.25,0.05,0,26,0.70
0.25,0.05,0,26,0.66
0.25,0.05,0,26,1.00
0.25,0.05,0,26,1.07
0.25,0.05,0,26,0.70
0.25,0.05,0,26,1.15
0.25,0.05,0,26,0.71
0.25,0.05,0,26,1.15
0.25,0.05,0,26,0.92
0.25,0.05,0,26,0.78
0.25,0.05,0,26,1.05
0.25,0.05,0,26,0.76
0.25,0.05,0,26,0.78
0.25,0.05,0,26,0.88
0.25,0.05,0,26,1.05
0.25,0.05,0,26,0.84
0.25,0.05,0,26,0.83
0.25,0.05,0,26,1.00
0.25,0.05,0,26,0.75
0.25,0.05,0,26,1.22
0.25,0.05,0,26,0.85
0.25,0.05,0,26,0.71
0.25,0.05,0,26,0.75
0.25,0.05,0,26,1.14
0.25,0.05,0,26,0.74
0.25,0.05,0,26,1.02
0.25,0.05,0,26,0.89
0.25,0.05,0,26,0.67
0.25,0.05,0,26,1.21
0.25,0.05,0,26,0.70
0.25,0.05,0,26,0.78
0.25,0.05,0,26,1.12
0.25,0.05,0,26,0.74
0.25,0.05,0,26,0.84
0.25,0.05,0,26,1.14
0.25,0.05,0,26,0.95
0.25,0.05,0,26,1.29
0.25,0.05,0,26,1.58
0.25,0.05,0,26,1.13
0.25,0.05,0,26,1.13
0.25,0.05,0,26,1.08
0.25,0.05,0,26,1.15
0.25,0.05,0,26,1.18
0.25,0.05,0,26,1.37
0.25,0.05,0,26,1.52
0.25,0.05,0,26,0.98
0.25,0.05,0,26,1.31
0.25,0.05,0,26,1.10
0.25,0.05,0,26,1.11
0.25,0.05,0,26,1.49
0.25,0.05,0,26,1.81
0.25,0.05,0,26,1.51
0.25,0.05,0,26,1.11
0.25,0.05,0,26,1.17
0.25,0.05,0,26,1.67
0.25,0.05,0,26,1.22
0.25,0.05,0,26,1.39
0.25,0.05,0,26,1.63
0.25,0.05,0,26,1.15
0.25,0.05,0,26,1.27
0.25,0.05,0,26,1.27
0.25,0.05,0,26,1.07
0.25,0.05,0,26,1.47
0.25,0.05,0,26,1.75
0.25,0.05,0,26,1.22
0.25,0.05,0,26,1.43
0.25,0.05,0,26,1.07
0.25,0.05,0,26,1.22
0.25,0.05,0,26,1.82
0.25,0.05,0,26,1.32
0.25,0.05,0,26,1.00
0.25,0.05,0,26,1.25
0.25,0.05,0,26,0.93
0.25,0.05,0,26,1.03
0.25,0.05,0,26,1.59
0.25,0.05,0,26,1.12
0.25,0.05,0,26,1.18
0.25,0.05,0,26,1.40
0.25,0.05,0,26,1.76
0.25,0.05,0,26,1.53
0.25,0.05,0,26,1.24
0.25,0.05,0,26,1.43
0.25,0.05,0,26,1.94
0.25,0.05,0,26,1.10
