pBug,epsilon,failed,passed,runtime
0.0039,0.05,1,25,84.64
0.0039,0.05,1,25,88.06
0.0039,0.05,1,25,96.06
0.0039,0.05,1,25,109.96
0.0039,0.05,1,25,109.29
0.0039,0.05,1,25,112.99
0.0039,0.05,1,25,114.19
0.0039,0.05,1,25,117.43
0.0039,0.05,1,25,113.11
0.0039,0.05,1,25,115.80
0.0039,0.05,1,25,133.49
0.0039,0.05,1,25,126.07
0.0039,0.05,1,24,120.36
0.0039,0.05,1,25,53.71
0.0039,0.05,1,25,55.48
0.0039,0.05,1,25,56.53
0.0039,0.05,1,25,55.71
0.0039,0.05,1,25,56.76
0.0039,0.05,0,26,57.91
0.0039,0.05,1,24,55.30
0.0039,0.05,1,25,56.89
0.0039,0.05,1,24,55.09
0.0039,0.05,1,25,57.38
0.0039,0.05,1,25,56.00
0.0039,0.05,1,24,55.77
0.0039,0.05,1,25,56.73
0.0039,0.05,1,24,55.95
0.0039,0.05,0,26,58.72
0.0039,0.05,1,25,55.71
0.0039,0.05,1,25,57.45
0.0039,0.05,1,25,56.53
0.0039,0.05,1,25,62.55
0.0039,0.05,1,25,61.97
0.0039,0.05,1,24,55.51
0.0039,0.05,1,25,56.94
0.0039,0.05,1,25,56.52
0.0039,0.05,1,25,57.46
0.0039,0.05,1,24,55.32
0.0039,0.05,1,25,57.70
0.0039,0.05,1,25,58.04
0.0039,0.05,1,25,57.00
0.0039,0.05,1,25,58.21
0.0039,0.05,1,24,56.60
0.0039,0.05,1,24,56.63
0.0039,0.05,1,25,58.91
0.0039,0.05,1,25,57.09
0.0039,0.05,1,25,58.03
0.0039,0.05,1,24,56.07
0.0039,0.05,1,25,58.30
0.0039,0.05,1,25,60.74
0.0039,0.05,1,25,63.16
0.0039,0.05,1,24,57.94
0.0039,0.05,1,25,60.66
0.0039,0.05,1,25,58.24
0.0039,0.05,1,24,57.76
0.0039,0.05,1,25,60.03
0.0039,0.05,1,25,60.26
0.0039,0.05,1,25,56.88
0.0039,0.05,1,25,56.71
0.0039,0.05,1,25,56.75
0.0039,0.05,0,26,58.62
0.0039,0.05,1,24,55.30
0.0039,0.05,1,25,57.29
0.0039,0.05,1,25,60.10
0.0039,0.05,1,25,58.88
0.0039,0.05,1,25,58.08
0.0039,0.05,1,25,58.32
0.0039,0.05,1,24,56.15
0.0039,0.05,1,24,57.80
0.0039,0.05,1,25,58.52
0.0039,0.05,1,24,55.18
0.0039,0.05,1,25,56.83
0.0039,0.05,1,25,58.05
0.0039,0.05,1,25,60.60
0.0039,0.05,1,24,58.89
0.0039,0.05,1,25,58.16
0.0039,0.05,1,24,58.86
0.0039,0.05,1,25,58.07
0.0039,0.05,1,25,58.53
0.0039,0.05,1,25,61.47
0.0039,0.05,1,25,61.53
0.0039,0.05,0,25,58.40
0.0039,0.05,1,24,57.86
0.0039,0.05,1,24,57.85
0.0039,0.05,1,24,57.24
0.0039,0.05,1,24,60.38
0.0039,0.05,1,24,59.35
0.0039,0.05,1,25,57.90
0.0039,0.05,1,25,57.15
0.0039,0.05,1,25,56.94
0.0039,0.05,1,25,56.74
0.0039,0.05,1,25,56.00
0.0039,0.05,1,25,57.05
0.0039,0.05,1,25,56.36
0.0039,0.05,1,24,55.21
0.0039,0.05,1,25,56.21
0.0039,0.05,1,25,56.15
0.0039,0.05,1,25,55.95
0.0039,0.05,1,25,56.96
0.0039,0.05,1,25,56.16
0.0039,0.05,1,25,57.19
0.0039,0.05,1,25,57.08
0.0039,0.05,1,24,56.56
0.0039,0.05,1,25,57.38
0.0039,0.05,1,25,59.27
0.0039,0.05,1,25,57.63
0.0039,0.05,1,25,57.11
0.0039,0.05,1,25,57.45
0.0039,0.05,1,24,54.31
0.0039,0.05,1,24,55.95
0.0039,0.05,1,24,55.20
0.0039,0.05,1,25,56.43
0.0039,0.05,1,25,55.12
0.0039,0.05,1,25,116.31
0.0039,0.05,1,25,117.71
0.0039,0.05,1,25,118.16
0.0039,0.05,1,24,120.61
0.0039,0.05,1,25,116.80
0.0039,0.05,1,25,116.70
0.0039,0.05,1,25,119.03
0.0039,0.05,1,24,117.11
0.0039,0.05,1,25,117.74
0.0039,0.05,1,25,121.36
0.0039,0.05,1,25,118.61
0.0039,0.05,1,25,118.63
0.0039,0.05,0,26,120.90
0.0039,0.05,1,25,118.94
0.0039,0.05,1,25,118.03
0.0039,0.05,1,25,120.24
0.0039,0.05,1,25,117.74
0.0039,0.05,1,25,118.53
0.0039,0.05,1,25,119.45
0.0039,0.05,1,25,119.62
0.0039,0.05,1,25,117.19
0.0039,0.05,1,25,119.25
0.0039,0.05,1,25,118.46
0.0039,0.05,1,25,116.94
0.0039,0.05,1,25,118.99
0.0039,0.05,1,25,118.99
0.0039,0.05,1,25,118.46
0.0039,0.05,1,25,120.03
0.0039,0.05,1,25,117.79
0.0039,0.05,1,25,118.38
0.0039,0.05,1,25,118.20
0.0039,0.05,1,25,118.72
0.0039,0.05,1,25,116.59
0.0039,0.05,1,24,118.50
0.0039,0.05,1,25,118.18
0.0039,0.05,0,26,120.32
0.0039,0.05,1,25,117.57
0.0039,0.05,1,24,114.93
0.0039,0.05,1,24,118.20
0.0039,0.05,1,24,115.10
0.0039,0.05,1,24,115.24
0.0039,0.05,1,24,116.15
0.0039,0.05,1,25,117.67
0.0039,0.05,1,25,117.52
0.0039,0.05,1,25,116.82
0.0039,0.05,1,25,116.52
0.0039,0.05,1,25,117.04
0.0039,0.05,1,25,117.80
0.0039,0.05,1,25,117.49
0.0039,0.05,1,25,117.12
0.0039,0.05,1,25,119.05
0.0039,0.05,1,25,119.01
0.0039,0.05,1,25,118.51
0.0039,0.05,1,25,117.13
0.0039,0.05,1,25,121.93
0.0039,0.05,0,26,122.35
0.0039,0.05,1,25,116.73
0.0039,0.05,1,25,117.56
0.0039,0.05,1,25,118.14
0.0039,0.05,1,25,117.93
0.0039,0.05,1,24,117.69
0.0039,0.05,1,24,116.67
0.0039,0.05,1,24,115.02
0.0039,0.05,1,24,116.82
0.0039,0.05,1,25,117.38
0.0039,0.05,1,25,119.29
0.0039,0.05,1,25,115.73
0.0039,0.05,1,25,119.06
0.0039,0.05,0,25,117.80
0.0039,0.05,1,25,117.79
0.0039,0.05,1,25,116.46
0.0039,0.05,1,25,117.25
0.0039,0.05,1,24,114.92
0.0039,0.05,1,24,114.56
0.0039,0.05,1,25,117.88
0.0039,0.05,1,25,120.59
0.0039,0.05,1,25,118.47
0.0039,0.05,1,24,115.19
0.0039,0.05,1,24,116.36
