run_id,samples,n_episodes,Neg Q1,Neg Q2,ProbTest Q1 (holds),ProbTest Q2 (holds)
0,1000,10000,0.0535,0.0848,0.0,0.0
0,1000,15000,0.01,0.0561,0.0,0.0
0,1000,20000,0.0,0.0778,1.0,0.0
0,1000,25000,0.0,0.0611,1.0,0.0
1,1000,10000,0.0669,0.0775,0.0,0.0
1,1000,15000,0.01,0.0501,0.0,0.0
1,1000,20000,0.0,0.0788,1.0,0.0
1,1000,25000,0.0,0.0551,1.0,0.0
2,1000,10000,0.0569,0.0841,0.0,0.0
2,1000,15000,0.0033,0.0511,0.0,0.0
2,1000,20000,0.0,0.0755,1.0,0.0
2,1000,25000,0.0,0.0601,1.0,0.0
3,1000,10000,0.0435,0.0828,0.0,0.0
3,1000,15000,0.0201,0.0551,0.0,0.0
3,1000,20000,0.0,0.0841,1.0,0.0
3,1000,25000,0.0,0.0558,1.0,0.0
4,1000,10000,0.0535,0.0825,0.0,0.0
4,1000,15000,0.01,0.0531,0.0,0.0
4,1000,20000,0.0,0.0801,1.0,0.0
4,1000,25000,0.0,0.0544,1.0,0.0
5,1000,10000,0.0635,0.0848,0.0,0.0
5,1000,15000,0.0201,0.0481,0.0,0.0
5,1000,20000,0.0,0.0828,1.0,0.0
5,1000,25000,0.0,0.0698,1.0,0.0
6,1000,10000,0.0435,0.0768,0.0,0.0
6,1000,15000,0.0067,0.0508,0.0,0.0
6,1000,20000,0.0,0.0808,1.0,0.0
6,1000,25000,0.0,0.0608,1.0,0.0
7,1000,10000,0.0635,0.0855,0.0,0.0
7,1000,15000,0.0067,0.0511,0.0,0.0
7,1000,20000,0.0,0.0858,1.0,0.0
7,1000,25000,0.0,0.0538,1.0,0.0
8,1000,10000,0.0502,0.0771,0.0,0.0
8,1000,15000,0.0234,0.0461,0.0,0.0
8,1000,20000,0.0,0.0821,1.0,0.0
8,1000,25000,0.0,0.0518,1.0,0.0
9,1000,10000,0.0535,0.0888,0.0,0.0
9,1000,15000,0.0,0.0538,1.0,0.0
9,1000,20000,0.0,0.0868,1.0,0.0
9,1000,25000,0.0,0.0578,1.0,0.0
10,1000,10000,0.0702,0.0878,0.0,0.0
10,1000,15000,0.01,0.0514,0.0,0.0
10,1000,20000,0.0,0.0681,1.0,0.0
10,1000,25000,0.0,0.0588,1.0,0.0
11,1000,10000,0.0769,0.0865,0.0,0.0
11,1000,15000,0.0033,0.0534,0.0,0.0
11,1000,20000,0.0,0.0841,1.0,0.0
11,1000,25000,0.0,0.0624,1.0,0.0
12,1000,10000,0.0535,0.0748,0.0,0.0
12,1000,15000,0.0167,0.0471,0.0,0.0
12,1000,20000,0.0,0.0725,1.0,0.0
12,1000,25000,0.0,0.0608,1.0,0.0
13,1000,10000,0.0569,0.0881,0.0,0.0
13,1000,15000,0.0067,0.0477,0.0,0.0
13,1000,20000,0.0,0.0771,1.0,0.0
13,1000,25000,0.0,0.0604,1.0,0.0
14,1000,10000,0.0669,0.0811,0.0,0.0
14,1000,15000,0.0268,0.0528,0.0,0.0
14,1000,20000,0.0,0.0841,1.0,0.0
14,1000,25000,0.0,0.0568,1.0,0.0
15,1000,10000,0.0669,0.0881,0.0,0.0
15,1000,15000,0.0268,0.0544,0.0,0.0
15,1000,20000,0.0,0.0775,1.0,0.0
15,1000,25000,0.0,0.0598,1.0,0.0
16,1000,10000,0.0569,0.0878,0.0,0.0
16,1000,15000,0.0067,0.0508,0.0,0.0
16,1000,20000,0.0,0.0875,1.0,0.0
16,1000,25000,0.0,0.0588,1.0,0.0
17,1000,10000,0.0602,0.0741,0.0,0.0
17,1000,15000,0.01,0.0444,0.0,0.0
17,1000,20000,0.0,0.0878,1.0,0.0
17,1000,25000,0.0,0.0644,1.0,0.0
18,1000,10000,0.0602,0.0801,0.0,0.0
18,1000,15000,0.0167,0.0544,0.0,0.0
18,1000,20000,0.0,0.0798,1.0,0.0
18,1000,25000,0.0,0.0618,1.0,0.0
19,1000,10000,0.0368,0.0795,0.0,0.0
19,1000,15000,0.0134,0.0528,0.0,0.0
19,1000,20000,0.0,0.0831,1.0,0.0
19,1000,25000,0.0,0.0574,1.0,0.0
20,1000,10000,0.0502,0.0811,0.0,0.0
20,1000,15000,0.01,0.0521,0.0,0.0
20,1000,20000,0.0,0.0778,1.0,0.0
20,1000,25000,0.0,0.0571,1.0,0.0
21,1000,10000,0.0368,0.0785,0.0,0.0
21,1000,15000,0.0134,0.0531,0.0,0.0
21,1000,20000,0.0,0.0785,1.0,0.0
21,1000,25000,0.0,0.0638,1.0,0.0
22,1000,10000,0.0468,0.0751,0.0,0.0
22,1000,15000,0.0067,0.0568,0.0,0.0
22,1000,20000,0.0,0.0845,1.0,0.0
22,1000,25000,0.0,0.0568,1.0,0.0
23,1000,10000,0.0602,0.0768,0.0,0.0
23,1000,15000,0.0067,0.0528,0.0,0.0
